channel_width,forward,backward,count,total_spawned,propensity
14,4.0,7.0,9,11.0,1.0524571573383115e-06
14,6.0,9.0,8,15.0,9.355174731896103e-07
14,6.0,4.0,8,10.0,9.355174731896103e-07
14,3.0,1.0,7,4.0,8.18577789040909e-07
14,7.0,6.0,7,13.0,8.18577789040909e-07
14,6.0,7.0,7,13.0,8.18577789040909e-07
14,6.0,8.0,6,14.0,7.016381048922077e-07
14,7.0,5.0,6,12.0,7.016381048922077e-07
14,1.0,4.0,6,5.0,7.016381048922077e-07
14,5.0,8.0,5,13.0,5.846984207435064e-07
14,9.0,8.0,5,17.0,5.846984207435064e-07
14,8.0,8.0,5,16.0,5.846984207435064e-07
14,4.0,8.0,4,12.0,4.6775873659480514e-07
14,2.5,2.5,4,5.0,4.6775873659480514e-07
14,7.0,4.0,4,11.0,4.6775873659480514e-07
14,7.0,8.0,4,15.0,4.6775873659480514e-07
14,7.0,9.0,4,16.0,4.6775873659480514e-07
14,2.0,6.0,4,8.0,4.6775873659480514e-07
14,8.0,9.0,4,17.0,4.6775873659480514e-07
14,0.0,3.0,4,3.0,4.6775873659480514e-07
14,-1.0,4.0,4,3.0,4.6775873659480514e-07
14,11.0,11.0,4,22.0,4.6775873659480514e-07
14,6.0,2.0,3,8.0,3.5081905244610384e-07
14,7.0,10.0,3,17.0,3.5081905244610384e-07
14,8.0,6.0,3,14.0,3.5081905244610384e-07
14,8.0,7.0,3,15.0,3.5081905244610384e-07
14,9.0,9.0,3,18.0,3.5081905244610384e-07
14,-1.0,1.0,3,0.0,3.5081905244610384e-07
14,5.0,11.0,3,16.0,3.5081905244610384e-07
14,1.0,6.0,3,7.0,3.5081905244610384e-07
14,3.0,7.0,3,10.0,3.5081905244610384e-07
14,-1.0,2.0,3,1.0,3.5081905244610384e-07
14,5.0,2.0,3,7.0,3.5081905244610384e-07
14,1.0,5.0,3,6.0,3.5081905244610384e-07
14,2.0,7.0,3,9.0,3.5081905244610384e-07
14,3.5,3.5,3,7.0,3.5081905244610384e-07
14,9.0,12.0,2,21.0,2.3387936829740257e-07
14,9.0,11.0,2,20.0,2.3387936829740257e-07
14,9.0,6.0,2,15.0,2.3387936829740257e-07
14,6.0,3.0,2,9.0,2.3387936829740257e-07
14,0.0,4.0,2,4.0,2.3387936829740257e-07
14,11.0,7.0,2,18.0,2.3387936829740257e-07
14,0.5,0.5,2,1.0,2.3387936829740257e-07
14,7.0,11.0,2,18.0,2.3387936829740257e-07
14,10.0,6.0,2,16.0,2.3387936829740257e-07
14,13.0,12.0,2,25.0,2.3387936829740257e-07
14,4.0,0.0,2,4.0,2.3387936829740257e-07
14,5.0,9.0,2,14.0,2.3387936829740257e-07
14,12.0,13.0,2,25.0,2.3387936829740257e-07
14,6.0,11.0,2,17.0,2.3387936829740257e-07
14,4.5,4.5,2,9.0,2.3387936829740257e-07
14,13.0,14.0,1,27.0,1.1693968414870128e-07
14,10.0,9.0,1,19.0,1.1693968414870128e-07
14,14.0,12.0,1,26.0,1.1693968414870128e-07
14,10.0,10.0,1,20.0,1.1693968414870128e-07
14,10.0,12.0,1,22.0,1.1693968414870128e-07
14,10.0,14.0,1,24.0,1.1693968414870128e-07
14,11.5,11.5,1,23.0,1.1693968414870128e-07
14,11.0,6.0,1,17.0,1.1693968414870128e-07
14,11.0,16.0,1,27.0,1.1693968414870128e-07
14,12.0,10.0,1,22.0,1.1693968414870128e-07
14,11.0,10.0,1,21.0,1.1693968414870128e-07
