channel_width,channel_length,interval,end,n_simulations,n_pulses,n_fronts_received
6,1000,100,900,30,500,7293
6,1000,100,910,30,500,7289
6,1000,100,920,30,500,7264
6,1000,100,930,30,500,7244
6,1000,100,940,30,500,7221
6,1000,100,950,30,500,7204
6,1000,100,960,30,500,7174
6,1000,100,970,30,500,7167
6,1000,100,980,30,500,7134
6,1000,100,990,30,500,7124
6,1000,100,1000,30,500,7084
6,1000,110,2,30,500,15225
6,1000,110,10,30,500,15233
6,1000,110,20,30,500,14983
6,1000,110,30,30,500,14720
6,1000,110,40,30,500,14420
6,1000,110,50,30,500,14138
6,1000,110,60,30,500,13802
6,1000,110,70,30,500,13526
6,1000,110,80,30,500,13230
6,1000,110,90,30,500,12999
6,1000,110,100,30,500,12743
6,1000,110,110,30,500,12514
6,1000,110,120,30,500,12295
6,1000,110,130,30,500,12052
6,1000,110,140,30,500,11896
6,1000,110,150,30,500,11736
6,1000,110,160,30,500,11583
6,1000,110,170,30,500,11436
6,1000,110,180,30,500,11323
6,1000,110,190,30,500,11222
6,1000,110,200,30,500,11117
6,1000,110,210,30,500,11014
6,1000,110,220,30,500,10893
6,1000,110,230,30,500,10802
6,1000,110,240,30,500,10705
6,1000,110,250,30,500,10602
6,1000,110,260,30,500,10533
6,1000,110,270,30,500,10467
6,1000,110,280,30,500,10384
6,1000,110,290,30,500,10298
6,1000,110,300,30,500,10229
6,1000,110,310,30,500,10165
6,1000,110,320,30,500,10112
6,1000,110,330,30,500,10052
6,1000,110,340,30,500,10030
6,1000,110,350,30,500,9950
6,1000,110,360,30,500,9868
6,1000,110,370,30,500,9827
6,1000,110,380,30,500,9767
6,1000,110,390,30,500,9713
6,1000,110,400,30,500,9664
6,1000,110,410,30,500,9599
6,1000,110,420,30,500,9600
6,1000,110,430,30,500,9535
6,1000,110,440,30,500,9475
6,1000,110,450,30,500,9445
6,1000,110,460,30,500,9395
6,1000,110,470,30,500,9345
6,1000,110,480,30,500,9308
6,1000,110,490,30,500,9278
6,1000,110,500,30,500,9242
6,1000,110,510,30,500,9185
6,1000,110,520,30,500,9146
6,1000,110,530,30,500,9101
6,1000,110,540,30,500,9075
