,channel_width,channel_length,interval,cond_entropy,efficiency,bitrate_per_min,bitrate_per_hour
0,7,100,99,0.34819714085546877,0.6518028591445313,0.006583867264086175,0.3950320358451705
1,7,100,102,0.3414324731477935,0.6585675268522064,0.006456544380903984,0.38739266285423907
2,7,100,106,0.29518960752294965,0.7048103924770504,0.006649154646009909,0.39894927876059455
3,7,100,109,0.2684766748878724,0.7315233251121276,0.006711223166166308,0.4026733899699785
4,7,100,112,0.20698166264782408,0.793018337352176,0.007080520869215857,0.4248312521529514
5,7,100,115,0.20636519083736374,0.7936348091626363,0.0069011722535881415,0.41407033521528847
6,7,100,119,0.182391258966844,0.8176087410331561,0.006870661689354253,0.41223970136125515
7,7,100,123,0.13436546958010978,0.8656345304198902,0.007037679109104799,0.4222607465462879
8,7,100,126,0.12489253037279203,0.875107469627208,0.006945297377993714,0.41671784267962286
9,7,100,130,0.11166488796812492,0.8883351120318751,0.006833347015629808,0.4100008209377885
10,7,100,134,0.09556241834214525,0.9044375816578547,0.006749534191476528,0.40497205148859167
11,7,300,116,0.4458712384703753,0.5541287615296246,0.004776972082151936,0.28661832492911615
12,7,300,119,0.40000866331156576,0.5999913366884342,0.005041944005785161,0.3025166403471097
13,7,300,123,0.39572031845429395,0.6042796815457061,0.004912842939395984,0.2947705763637591
14,7,300,127,0.3585763533208583,0.6414236466791416,0.005050579895111352,0.3030347937066811
15,7,300,131,0.32916117138814965,0.6708388286118503,0.005120907088640079,0.30725442531840474
16,7,300,135,0.2890212572555736,0.7109787427444264,0.00526650920551427,0.31599055233085616
